Date	Present	Shelf	Dupe
 October 1990	x
 November 1990	x
 December 1990
 January 1991	x
 February 1991	x
 March 1991	x
 April 1991	x
 May 1991	x
 June 1991	x
 July 1991	x
 August 1991	x
 September 1991	x	10
Oct/Nov 1991	x
 December 1991	x
 January 1992	x
 February 1992	x
 March 1992	x
 April 1992	x
 May 1992	x
 June 1992	x
 July 1992	x
 August 1992	x
 September 1992
Oct/Nov 1992	x
 December 1992	x
 January 1993	x
 February 1993	x
 March 1993	x
 April 1993	x
 May 1993	x
 June 1993	x
 July 1993	x
 August 1993	x
 September 1993	x
Oct/Nov 1993	x
 December 1993	x
 January 1994	x
 February 1994	x
 March 1994	x
 April 1994	x	11
 May 1994	x
 June 1994	x
 July 1994	x
 August 1994
 September 1994
 October 1994
 December 1994
 January 1995
 February 1995
 March 1995	x
 April 1995
 May 1995	x
 June 1995	x
 July 1995
 August 1995	x
 September 1995	x
Oct/Nov 1995	x
 December 1995	x
 January 1996	x
 February 1996	x
 March 1996
 April 1996	x
 May 1996	x
 June 1996	x
 July 1996	x
 August 1996	x
 September 1996	x
Oct/Nov 1996	x
 December 1996	x
 January 1997	x
 February 1997	x
 March 1997	x
 April 1997	x
 May 1997	x
 June 1997	x
 July 1997	x	12	D
 August 1997	x
 September 1997	x
Oct/Nov 1997	x
 December 1997	x
 January 1998	x
 February 1998	x
 March 1998
 April 1998	x
 May 1998
 June 1998	x
 July 1998	x
 August 1998
 September 1998	x
Oct/Nov 1998	x	D
 December 1998	x
 January 1999	x	D
 February 1999	x	D
 March 1999	x
 April 1999	x
 May 1999	x
 June 1999	x
 July 1999
 August 1999	x
 September 1999
Oct/Nov 1999	x
 December 1999
 January 2000	x	13
 February 2000	x
 March 2000	x
 April 2000
 May 2000	x
 June 2000	x
 July 2000
 August 2000	x
 September 2000
Oct/Nov 2000	x
 December 2000	x
 January 2001	x
 February 2001	x
 March 2001	x
 April 2001	x
 May 2001	x
 June 2001	x
 July 2001	x
 August 2001	x
 September 2001	x
Oct/Nov 2001	x
 December 2001
 January 2002	x
 February 2002	x
 March 2002	x
 April 2002	x
 May 2002	x
 June 2002
 July 2002	x
 August 2002	x
 September 2002	x
Oct/Nov 2002	x	14
 December 2002	x
 January 2003	x
 February 2003	x
 March 2003
 April 2003	x
 May 2003
 June 2003	x
 July 2003	x
 August 2003	x
 September 2003	x
Oct/Nov 2003	x
 December 2003	x
 January 2004	x
 February 2004	x
 March 2004	x	D
 April 2004	x
 May 2004	x
 June 2004	x
 July 2004	x
 August 2004	x
 September 2004
Oct/Nov 2004	x
 December 2004	x
 January 2005	x
 February 2005	x
 March 2005	x
 April 2005
 May 2005	x	15
 June 2005	x
 July 2005	x
 August 2005	x	x
 September 2005	x
Oct/Nov 2005	x
 December 2005	x
 January 2006	x
 February 2006	x
 March 2006	x
 April 2006	x
 May 2006	x
 June 2006	x
 July 2006
 August 2006	x
 September 2006	x
Oct/Nov 2006	x
 December 2006	x
 January 2007	x
 February 2007	x
 March 2007	x
 April 2007	x
 May 2007	x
 June 2007	x
 July 2007	x
 August 2007	x
 September 2007	x	16
Oct/Nov 2007	x
 December 2007	x
 January 2008	x
 February 2008	x
 March 2008	x
 April 2008	x
 May 2008	x
 June 2008	x
 July 2008	x
 August 2008	x
 September 2008	x
Oct 2008	x
 December 2008	x
 January 2009	x
 February 2009	x
 March 2009	x
 April 2009	x
 June 2009	x
 August 2009	x
 October 2009	x
 December 2009	x
 January 2010
 March 2010
 May 2010
 July 2010
 September 2010
 November 2010	x	17
 January 2011	x
 March 2011	x
 May 2011	x
 July 2011	x
 September 2011	x
 November 2011	x
 January 2012	x
 March 2012	x
 May 2012	x
 July 2012	x
 September 2012	x
 November 2012	x
 January 2013	x
 March 2013	x
 May 2013	x
 July 2013	x
 September 2013	x
 November 2013	x	28
 January 2014
 March 2014	x
 May 2014	x
 July 2014	x
 September 2014	x
 November 2014	x
 January 2015	x
 March 2015	x
 May 2015	x
 July 2015	x
 September 2015	x
 November 2015	x
 January 2016	x
 March 2016	x
 May 2016	x
 July 2016	x
 September 2016
 November 2016
 January 2017
 March 2017
 May 2017
 July 2017
 September 2017	x
 November 2017	x
 January 2018
 March 2018
 May 2018
 July 2018
 September 2018
 November 2018
